,0
186,ComprehensiveIncomeNetOfTax
187,ContractualObligation
188,CurrentStateAndLocalTaxExpenseBenefit
189,DeferredFederalIncomeTaxExpenseBenefit
190,DeferredFinanceCostsNoncurrentNet
191,DeferredIncomeTaxLiabilities
193,DeferredTaxAssetsNet
195,DeferredTaxAssetsOther
196,DeferredTaxAssetsTaxCreditCarryforwards
200,DeferredTaxLiabilities
201,DeferredTaxLiabilitiesLeasingArrangements
202,DeferredTaxLiabilitiesPrepaidExpenses
205,EarningsPerShareBasicAndDiluted
206,EffectiveIncomeTaxRateContinuingOperations
207,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate
208,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance
209,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther
210,EffectiveIncomeTaxRateReconciliationOtherAdjustments
211,EffectiveIncomeTaxRateReconciliationTaxCredits
212,EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal
213,GeneralAndAdministrativeExpense
214,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
215,IncomeTaxExpenseBenefit
216,IncreaseDecreaseInAccountsPayable
217,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities
218,IncreaseDecreaseInOtherOperatingAssets
220,InterestIncomeExpenseNonoperatingNet
221,InterestIncomeOther
222,LeaseCost
230,NetIncomeLossAvailableToCommonStockholdersBasic
231,OperatingExpenses
233,OperatingLeaseCost
234,OperatingLeaseLiability
235,OperatingLeaseLiabilityCurrent
236,OperatingLeaseLiabilityNoncurrent
237,OperatingLeasePayments
238,OperatingLeaseRightOfUseAsset
239,OperatingLeaseWeightedAverageDiscountRatePercent
240,OtherAssetsCurrent
241,OtherAssetsMiscellaneousNoncurrent
242,OtherLiabilitiesNoncurrent
243,OtherLongTermDebt
245,OtherPrepaidExpenseCurrent
247,PreferredStockParOrStatedValuePerShare
248,PreferredStockSharesAuthorized
249,PreferredStockSharesIssued
251,PrepaidExpenseAndOtherAssetsCurrent
252,PrepaidInsurance
253,ProceedsFromIssuanceOfCommonStock
254,ProceedsFromIssuanceOrSaleOfEquity
255,ProfitLoss
258,RestrictedCash
259,RestrictedCashAndCashEquivalentsNoncurrent
261,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability
263,ShortTermLeaseCost
264,StockIssuedDuringPeriodValueNewIssues
265,UnrecognizedTaxBenefits
266,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense
267,ValuationAllowanceDeferredTaxAssetChangeInAmount
268,VariableLeaseCost
269,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
270,AvailableForSaleSecuritiesDebtSecurities
271,DeferredTaxAssetsOperatingLossCarryforwardsNotSubjectToExpiration
272,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal
273,EquitySecuritiesFvNiMeasurementInput
274,LesseeOperatingLeaseLiabilityPaymentsDue
275,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive
276,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths
277,LesseeOperatingLeaseLiabilityPaymentsDueYearFive
278,LesseeOperatingLeaseLiabilityPaymentsDueYearFour
279,LesseeOperatingLeaseLiabilityPaymentsDueYearThree
280,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo
281,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount
282,PaymentOfFinancingAndStockIssuanceCosts
283,PaymentsOfFinancingCosts
284,PreferredStockRedemptionPremium
285,PrepaidExpenseOtherNoncurrent
286,RevenueFromContractWithCustomerExcludingAssessedTax
287,SharePrice
288,StockIssuedDuringPeriodValueAcquisitions
289,TemporaryEquityAccretionToRedemptionValueAdjustment
290,WriteOffOfDeferredDebtIssuanceCost
291,AccumulatedOtherComprehensiveIncomeLossNetOfTax
292,AssetImpairmentCharges
293,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax
294,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax
295,AvailableForSaleDebtSecuritiesAmortizedCostBasis
296,AvailableForSaleSecuritiesDebtSecuritiesCurrent
297,AvailableForSaleSecuritiesDebtSecuritiesNoncurrent
299,DividendsPayableCurrentAndNoncurrent
300,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost
301,FairValueAdjustmentOfWarrants
302,InterestReceivableCurrent
303,MarketableSecuritiesRealizedGainLoss
304,NumberOfOperatingSegments
305,NumberOfReportableSegments
306,OtherComprehensiveIncomeLossFinancialLiabilityFairValueOptionUnrealizedGainLossArisingDuringPeriodAfterTax
307,OtherComprehensiveIncomeLossNetOfTax
308,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax
309,OtherNoncashIncomeExpense
310,PaymentsToAcquireMarketableSecurities
311,ProceedsFromRelatedPartyDebt
312,ProceedsFromWarrantExercises
313,StockIssuedDuringPeriodValueEmployeeStockPurchasePlan
314,StockIssuedDuringPeriodValueStockOptionsExercised
317,DebtInstrumentBasisSpreadOnVariableRate1
319,StockIssuedDuringPeriodSharesNewIssues
321,CashCashEquivalentsAndFederalFundsSold
323,AccretionAmortizationOfDiscountsAndPremiumsInvestments
324,AmortizationOfDeferredLoanOriginationFeesNet
325,BankOwnedLifeInsuranceIncome
328,CommonStockDividendsPerShareCashPaid
329,DeferredIncomeTaxExpenseBenefit
330,DepreciationAmortizationAndAccretionNet
331,DividendIncomeOperating
332,DividendsCommonStockCash
334,EarningsPerShareDiluted
335,EquipmentExpense
336,FederalDepositInsuranceCorporationPremiumExpense
337,FeesAndCommissionsDepositorAccounts
338,GainLossOnSaleOfSecuritiesNet
339,GainsLossesOnSalesOfOtherRealEstate
340,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
343,IncreaseDecreaseInAccruedInterestReceivableNet
344,IncreaseDecreaseInDeposits
345,IncreaseDecreaseInInterestPayableNet
346,IncreaseDecreaseInOtherOperatingCapitalNet
347,InformationTechnologyAndDataProcessing
348,InterestAndDividendIncomeOperating
349,InterestAndFeeIncomeLoansAndLeases
350,InterestExpense
351,InterestExpenseDeposits
352,InterestExpenseOther
353,InterestExpenseShortTermBorrowings
354,InterestExpenseTrustPreferredSecurities
355,InterestIncomeDepositsWithFinancialInstitutions
356,InterestIncomeExpenseAfterProvisionForLoanLoss
357,InterestIncomeExpenseNet
358,InterestIncomeFederalFundsSold
359,InterestIncomeSecuritiesTaxExempt
360,InterestIncomeSecuritiesTaxable
362,LaborAndRelatedExpense
364,LoansAssumed1
369,NoninterestExpense
370,NoninterestIncome
371,NoninterestIncomeOther
372,OccupancyNet
373,OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease
374,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease
375,OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeTax
377,OtherNoninterestExpense
378,PaymentsForProceedsFromLoansAndLeases
379,PaymentsOfDividendsCommonStock
380,PaymentsToAcquireAvailableForSaleSecurities
381,PaymentsToAcquireFederalReserveStock
383,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities
384,ProceedsFromRepaymentsOfShortTermDebt
385,ProceedsFromSaleOfAvailableForSaleSecurities
386,ProceedsFromSaleOfOtherRealEstate
387,ProfessionalFees
388,ProvisionForLoanLossesExpensed
389,RepaymentsOfOtherDebt
396,AvailableForSaleSecurities
397,AvailableForSaleSecuritiesGrossRealizedGains
398,AvailableForSaleSecuritiesGrossRealizedLosses
399,BankOwnedLifeInsurance
400,CashAndDueFromBanks
405,CurrentIncomeTaxExpenseBenefit
406,DebtInstrumentInterestRateAtPeriodEnd
407,Deposits
408,DepositsMoneyMarketDeposits
409,DepositsSavingsDeposits
413,EffectiveIncomeTaxRateReconciliationNondeductibleExpense
415,EffectiveIncomeTaxRateReconciliationTaxExemptIncome
416,FederalFundsSold
417,ForeclosedRealEstateExpense
418,Goodwill
420,IncomeTaxReconciliationNondeductibleExpense
422,IncomeTaxReconciliationTaxExemptIncome
423,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements
424,InterestBearingDepositLiabilities
427,LineOfCreditFacilityAmountOutstanding
428,LoansAndLeasesReceivableAllowance
429,LoansAndLeasesReceivableImpairedInterestLostOnNonaccrualLoans
430,LoansAndLeasesReceivableNetOfDeferredIncome
431,LoansAndLeasesReceivableNetReportedAmount
432,MarketingAndAdvertisingExpense
433,NoninterestBearingDepositLiabilities
434,OperatingLeasesRentExpenseNet
435,OtherBorrowings
437,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent
438,OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax
439,OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeTax
440,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax
441,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesTax
442,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax
443,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax
448,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit
449,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeUpperRangeLimit
450,ShortTermBorrowings
451,ShortTermDebtWeightedAverageInterestRate
452,TimeDeposits
453,TreasuryStockShares
454,TreasuryStockValue
455,WeightedAverageNumberOfDilutedSharesOutstanding
456,WeightedAverageNumberOfSharesIssuedBasic
458,WeightedAverageNumberOfSharesTreasuryStock
460,AllowanceForLoanAndLeaseLossRecoveryOfBadDebts
461,AllowanceForLoanAndLeaseLossesWriteOffs
462,AvailableForSaleSecuritiesAmortizedCost
463,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue
464,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue
465,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue
466,AvailableForSaleSecuritiesCurrent
467,AvailableForSaleSecuritiesFairValueDisclosure
468,AvailableForSaleSecuritiesGrossUnrealizedLosses1
469,AvailableForSaleSecuritiesPledgedAsCollateral
470,AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2
471,AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2
472,AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2
473,AvailableforsaleSecuritiesGrossUnrealizedGain
474,BuildingsAndImprovementsGross
475,CashAndCashEquivalentsFairValueDisclosure
476,CommonStockNoParValue
484,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax
485,DeferredTaxAssetsTaxDeferredExpense
486,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions
487,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses
488,DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross
489,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets
490,DeferredTaxLiabilitiesInvestments
491,DeferredTaxLiabilitiesOther
493,DeferredTaxLiabilitiesTaxDeferredIncome
494,DepositsFairValueDisclosure
495,FederalHomeLoanBankStock
496,FinancingReceivableAllowanceForCreditLossesCollectivelyEvaluatedForImpairment
497,FinancingReceivableAllowanceForCreditLossesIndividuallyEvaluatedForImpairment1
498,FinancingReceivableCollectivelyEvaluatedForImpairment
499,FinancingReceivableIndividuallyEvaluatedForImpairment
500,FinancingReceivableModificationsRecordedInvestment
501,FinancingReceivableRecordedInvestment30To59DaysPastDue
502,FinancingReceivableRecordedInvestment60To89DaysPastDue
503,FinancingReceivableRecordedInvestmentCurrent
504,FinancingReceivableRecordedInvestmentEqualToGreaterThan90DaysPastDue
505,FinancingReceivableRecordedInvestmentNonaccrualStatus
506,FinancingReceivableRecordedInvestmentPastDue
507,FiniteLivedCoreDepositsGross
510,FurnitureAndFixturesGross
512,ImpairedFinancingReceivableRecordedInvestment
513,ImpairedFinancingReceivableRelatedAllowance
514,ImpairedFinancingReceivableUnpaidPrincipalBalance
515,ImpairedFinancingReceivableWithNoRelatedAllowanceRecordedInvestment
516,ImpairedFinancingReceivableWithNoRelatedAllowanceUnpaidPrincipalBalance
517,ImpairedFinancingReceivableWithRelatedAllowanceRecordedInvestment
518,ImpairedFinancingReceivableWithRelatedAllowanceUnpaidPrincipalBalance
519,InterestIncomeOperating
520,InterestPayableCurrentAndNoncurrent
521,InterestReceivable
522,LandAndLandImprovements
523,LoansReceivableFairValueDisclosure
524,OtherAccruedLiabilitiesCurrentAndNoncurrent
525,OtherAssets
526,OtherAssetsMiscellaneous
527,OtherCommitment
528,OtherLiabilitiesFairValueDisclosure
529,OtherRealEstateAndForeclosedAssets
530,PrepaidExpenseCurrentAndNoncurrent
533,ProvisionForLoanAndLeaseLosses
534,RestrictedStockExpense
545,ShorttermDebtFairValue
546,StockIssuedDuringPeriodValueShareBasedCompensationGross
547,TimeDeposits100000OrMore
548,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts
549,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses
550,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses
551,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost
552,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue
553,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost
554,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue
555,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost
556,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue
557,AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost
558,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost
559,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue
560,AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue
561,AvailableForSaleSecuritiesGrossUnrealizedGains
562,AvailableForSaleSecuritiesGrossUnrealizedLoss
563,AvailableForSaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions
564,CapitalRequiredToBeWellCapitalizedToRiskWeightedAssets
566,ContractualMaturitiesTimeDeposits100000OrMoreAfter12Months
567,ContractualMaturitiesTimeDeposits100000OrMoreSixMonthsThrough12Months
568,ContractualMaturitiesTimeDeposits100000OrMoreThreeMonthsOrLess
569,ContractualMaturitiesTimeDeposits100000OrMoreThreeMonthsThroughSixMonths
570,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves
571,DefinedBenefitPlanBenefitObligation
572,DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter
573,DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths
574,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive
575,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour
576,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree
577,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo
578,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive
583,GainLossOnSalesOfLoansNet
584,ImpairedFinancingReceivableAverageRecordedInvestment
585,ImpairedFinancingReceivableInterestIncomeAccrualMethod
586,IncrementalCommonSharesAttributableToCallOptionsAndWarrants
587,LineOfCredit
588,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive
589,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive
590,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour
591,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree
592,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo
593,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear
594,OperatingLeasesFutureMinimumPaymentsDueInFiveYears
595,OperatingLeasesFutureMinimumPaymentsDueInFourYears
596,OperatingLeasesFutureMinimumPaymentsDueInThreeYears
597,OperatingLeasesFutureMinimumPaymentsDueInTwoYears
598,OperatingLeasesFutureMinimumPaymentsDueThereafter
599,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear
600,PaymentsForOriginationAndPurchasesOfLoansHeldForSale
601,PaymentsForOriginationOfMortgageLoansHeldForSale
602,ProceedsFromSaleOfLoansHeldForSale
603,ProceedsFromSaleOfMortgageLoansHeldForSale
604,SaleOfStockPricePerShare
606,TierOneLeverageCapitalRequiredToBeWellCapitalizedToAverageAssets
607,TierOneRiskBasedCapitalRequiredToBeWellCapitalizedToRiskWeightedAssets
608,TimeDepositMaturitiesRemainderOfFiscalYear
609,TimeDepositMaturitiesYearFive
610,TimeDepositMaturitiesYearFour
611,TimeDepositMaturitiesYearThree
612,TimeDepositMaturitiesYearTwo
614,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax
615,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax
616,AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss
617,AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses
618,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss
619,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss
620,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions1
621,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits
623,FinancingReceivableRecordedInvestment90DaysPastDueAndStillAccruing
624,GoodwillImpairmentLoss
625,ImpairmentOfRealEstate
626,InterestExpenseFederalFundsPurchased
627,LineOfCreditFacilityInterestRateDuringPeriod
628,LineOfCreditFacilityMaximumBorrowingCapacity
629,OperatingLeasesFutureMinimumPaymentsDue
630,OperatingLeasesFutureMinimumPaymentsDueCurrent
631,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax
632,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax
633,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax
634,OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax
